Price,Address,,road,,,,
200000,"107/c, Palagama, Polgasowita","6.763925624101172, 79.96308552671229",270,,,,
1530000,"10th Mile Post Road, Boralesgamuwa","6.82225346778457, 79.9080296262033",600,,,,
480000,149 Piliyandala Diyakada Bus Rout,,,,,,
266667,"Alotiywa Road, Welmilla, Bandaragama",,,,,,
771639,Bandaragama road,,,,,,
2000000,Battaramulla.,,,,,,
575000,Batuwandara,"6.7671624328400055, 79.94474007918656",260,,,,
960000,Batuwandara Junction,"6.766230193503131, 79.94719349117716",50,,,,
395000,Diyagama moratu campus,,,,,,
645000,Diyakada road,,,,,,
390000,"Diyakada road, Dehigahawatta road",,,,,,
350000,"Diyakada road, Kahathuduwa","6.780965756782577, 79.98467439708703",350,,,,
285000,"Diyakada Road, Pasal Mawatha","6.772541652998188, 79.98251090659848",1400,,,,
375000,Ganga paara,,,,,,
235000,Gonapola,"6.7585728220088885, 80.01632291303963",290,,,,
250000,Gonapola,,,,,,
250000,Gonapola Widiyagoda Road,,,,,,
250000,Gonapola|Kumbuka,"6.737655321462494, 80.03011586578457",350,,,,
375000,Heraliyawala Kesbewa,"6.769390715882432, 79.96000714300514",110,,,,
595000,Homagama,,,,,,
845000,"Horana Colombo Road, Kahathuduwa",,,,,,
,,,,,,,
260000,kahathuduwa,"6.788016348943186, 80.001002548025",900,,,,
400000,Kahathuduwa,"6.782498288422892, 80.00460971180497",700,,,,
410000,Kahathuduwa,"6.7755322654083985, 79.99697088968158",750,,,,
425000,KAHATHUDUWA,"6.786522405794387, 79.99483579891873",650,,,,
,,,,,,,
430000,Kahathuduwa,"6.777630332827088, 79.99439709438626",500,,,,
435000,kahathuduwa,"6.78182385206035, 80.0013979020645",300,,,,
440000,kahathuduwa,"6.782872805140121, 79.9975965450737",270,,,,
450000,kahathuduwa,"6.784806392246022, 79.98393850859621",240,,,,
,,,,,,,
,,,,,,,
425000,kahathuduwa highway,"6.787124258660224, 79.98805012159873",850,,,,
395000,Kahathuduwa Jaya mawatha,"6.780001278262546, 80.00269277577692",300,,,,
590000,"Kahathuduwa, Near Hirdaramani factory",,,,,,
350000,"Kahathuduwa, Polgasowita","6.78182208985945, 80.00633223150486",900,,,,
180000,"kahathuduwa,diyakada","6.775951148315733, 79.98306428449665",1000,,,,
200000,"kahathuduwa,diyakada",,,,,,
18000,"kahathuduwa,Diyakada",,,,,,
435000,kahathuduwa/koralaima,,,,,,
390000,Kahathuduwa-diyagama,,,,,,
1650000,kalalgoda road Thalawatugoda,,,,,,
890000,kasbawa,"6.77649710964002, 79.94976847071756",400,,,,
1300000,Kasbawa  Halpita,"6.7836286603941325, 79.95002131577613",450,,,,
350000,Kasbawa  Polgasowita  Pahalagama Road .,,,,,,
450000,Kasbawa Polgasowita jaliyagama Road,,,,,,
350000,Kasbawa Polgasowita Pahalagama Road,,,,,,
860000,Kesbawa Batuwandara,"6.764412817329835, 79.94527898275891",140,,,,
790000,kesbewa,,,,,,
600000,KESBEWA,,,,,,
595000,kesbewa,,,,,,
560000,Kesbewa,,,,,,
1033333,kesbewa,,,,,,
650000,Kesbewa,,,,,,
825000,Kesbewa / Halpita,"6.780542245526981, 79.9518969047632",450,,,,
560000,kesbewa / polgasovita,"6.79213242919044, 79.9783169899411",950,,,,
610000,kesbewa /kahathuduwa,"6.787733432822555, 79.98521557350256",500,,,,
390000,Kesbewa Barndaragama,"6.706089611431736, 79.98820194872027",300,,,,
650000,Kesbewa kahathuduwa old 120 bus route,,,,,,
785000,kesbewa makandana,,,,,,
1000000,"Kesbewa, Bandaragama",,,,,,
1000000,"Kesbewa, Bandaragama road.",,,,,,
480000,"Kesbewa, Kidelpitiya",,,,,,
1100000,"Kesbewa, Liberty park",,,,,,
500000,Kesbewa.,,,,,,
1475000,Kesbewa.,,,,,,
295000,Kidelpitiya.,,,,,,
320000,Kindelpitiya,,,,,,
425000,koralaima,,,,,,
250000,Kumbuka,,,,,,
250000,Kumbuka,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
250000,Kumbuka-Wanameekanda Rd,,,,,,
800000,"makandana, kesbewa","6.778552330399745, 79.95082955180581",110,,,,
510000,"Near Laxman Bakery, Niwungama",,,,,,
385000,"No 17,Undurugoda,Polgasowita.","6.778699156928943, 79.97229793981192",450,,,,
885000,piliyandala kasbawa,,,,,,
375000,Piliyandala Kesbewa,,,,,,
375000,Piliyandala Kesbewa,,,,,,
800000,Piliyandala Makandana,,,,,,
675000,Piliyandala.,,,,,,
800000,Piliyandala.,,,,,,
395000,Polgasowita,,,,,,
450000,"Polgasowita , Kesbewa, Piliyandala",,,,,,
780000,"Polgasowita, Wethara old road",,,,,,
1050000,"St.Peter's road,Moratuwa.",,,,,,
450000,"Undurugoda, Polgasowita",,,,,,
650000,"Wethara, Kahathuduwa, Polgasowita",,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
